Event Start Time ms	Peak Amp uV	Time of Peak ms	Time of Antipeak ms	Interspike Interval ms
4185.799804687500000	-97.826545715332031	4186.200195312500000	4186.000000000000000	3119.200439453125000
4820.700195312500000	-94.600547790527344	4821.100097656250000	4820.899902343750000	634.899719238281250
6881.299804687500000	-94.621482849121094	6881.600097656250000	6881.500000000000000	2060.500244140625000
8821.599609375000000	-96.529899597167969	8822.000000000000000	8821.799804687500000	1940.399658203125000
11900.099609375000000	-104.911964416503910	11900.500000000000000	11900.299804687500000	3078.500000000000000
12973.200195312500000	-95.690826416015625	12973.500000000000000	12973.400390625000000	1073.000122070312500
13764.599609375000000	-97.112380981445312	13765.000000000000000	13764.799804687500000	791.499877929687500
14357.900390625000000	-112.262588500976560	14358.299804687500000	14358.099609375000000	593.300048828125000
16188.599609375000000	-104.004776000976560	16189.000000000000000	16188.799804687500000	1830.699951171875000
16659.599609375000000	-108.243537902832030	16660.000000000000000	16659.800781250000000	471.000000000000000
17921.099609375000000	-107.636474609375000	17921.500000000000000	17921.300781250000000	1261.500000000000000
18350.900390625000000	-105.363845825195310	18351.300781250000000	18351.099609375000000	429.800994873046870
20021.300781250000000	-105.255249023437500	20021.699218750000000	20021.500000000000000	1670.398559570312500
21955.599609375000000	-93.430297851562500	21956.000000000000000	21955.800781250000000	1934.300415039062500
24178.199218750000000	-99.712051391601563	24178.500000000000000	24178.400390625000000	2222.500000000000000
24472.000000000000000	-103.137306213378910	24472.400390625000000	24472.199218750000000	293.900421142578120
25049.300781250000000	-97.931678771972656	25049.699218750000000	25049.500000000000000	577.299072265625000
25472.300781250000000	-93.627494812011719	25472.599609375000000	25472.500000000000000	422.900390625000000
25757.800781250000000	-95.136619567871094	25758.199218750000000	25758.000000000000000	285.599609375000000
26120.500000000000000	-94.118316650390625	26120.900390625000000	26120.699218750000000	362.700958251953120
26614.199218750000000	-100.349708557128910	26614.599609375000000	26614.400390625000000	493.699188232421870
27084.199218750000000	-109.219627380371090	27084.599609375000000	27084.400390625000000	470.000000000000000
30950.400390625000000	-94.195472717285156	30950.800781250000000	30950.599609375000000	3866.201416015625000
31110.300781250000000	-100.022109985351560	31110.599609375000000	31110.500000000000000	159.798934936523440
31292.199218750000000	-101.800926208496090	31292.500000000000000	31292.400390625000000	181.900146484375000
31726.000000000000000	-101.994773864746090	31726.400390625000000	31726.199218750000000	433.900421142578120
31878.000000000000000	-94.518051147460938	31878.300781250000000	31878.199218750000000	151.900390625000000
32831.601562500000000	-99.511207580566406	32832.000000000000000	32831.800781250000000	953.699157714843750
33169.800781250000000	-101.886726379394530	33170.199218750000000	33170.000000000000000	338.199493408203120
